UID,UAge,USex,URace,UIdeo,UStance,AIFam,AIChatFreq,AIChatComf,AIForNews,EvaAIInfoConf,TrustAIInfo,CloseToSE,CloseToSM,CloseToNA,CloseToNW,IndepEvaConf,TrustNews,FactCheckFreq,FeelMisinfo,AIStance,NID,News,PreEva,PreConf,PostEva,PostConf,Truth,PoliBias,HumanTrustBias,PerceivedImprove,AIInterMean,PerceivedAIRole,AIJudge,AILackJudgeImp,GFeedback,WillRecommendAI,AIStanceLabel,AIStanceCode,UStanceLabel,UStanceCode,PreConfCode,PostConfCode,PreEvaCode,PostEvaCode,TruthCode,PerceivedImproveCode,UStanceLabel_S,AIStanceLabel_S,AIFamCode,UIdeoCode,AIChatFreqCode,IndepEvaConfCode,FactCheckFreqCode,AIChatComfCode,EvaAIInfoConfCode,TrustAIInfoCode,TrustNewsCode,FeelMisinfoCode,EngagementOverall,EngagementBehavioral,EngagementCognitive,EngagementEmotional,EngagementAutonomy,EngagementSocialPresence,ConvLength,AIEva,AICorrectness,weight,ConvRound
120,42,Male,Black or African American,Moderate,Independent,Somewhat familiar (I have used AI-powered tools a few times),Several times a week,Somewhat comfortable,Maybe,Somewhat confident,Neutral,About once a month,About once a week,About once a month,About once a week,Somewhat confident,Neutral,Rarely,Several times a week,This AI is a GPT-4o model prompted to be somewhat republican.,1,Silent-era film actor Charlie Chaplin once lost a Charlie Chaplin look-alike contest.,true,Extremely confident,true,Extremely confident,unsure,Neutral,Republican,Not at all,Very meaningful,A mix of both a tool and an influencing agent,I felt judged during our interaction,,this assistant seemed like any other which i've worked with in my past.,Neutral,Somewhat Republican,1,Independent,0,1.0,1.0,1,1,0,1,Independent,Republican,3,0.0,5,3.0,2,1.0,2.0,0.0,0,4.0,Moderate,2,2,2,2,2,75.0,1.0,0.5,0.8978704242822091,2.0
120,42,Male,Black or African American,Moderate,Independent,Somewhat familiar (I have used AI-powered tools a few times),Several times a week,Somewhat comfortable,Maybe,Somewhat confident,Neutral,About once a month,About once a week,About once a month,About once a week,Somewhat confident,Neutral,Rarely,Several times a week,This AI is a GPT-4o model prompted to be somewhat republican.,9,"Project 2025, a proposed conservative blueprint for the next U.S. Republican presidential administration, has called to shut down the U.S. Department of Education.",true,Extremely confident,true,Extremely confident,true,Republican,Democrat,Not at all,Very meaningful,A mix of both a tool and an influencing agent,I felt judged during our interaction,,this assistant seemed like any other which i've worked with in my past.,Neutral,Somewhat Republican,1,Independent,0,1.0,1.0,1,1,1,1,Independent,Republican,3,0.0,5,3.0,2,1.0,2.0,0.0,0,4.0,Low,1,1,1,2,1,37.0,1.0,1.0,0.9906361023211744,1.0
120,42,Male,Black or African American,Moderate,Independent,Somewhat familiar (I have used AI-powered tools a few times),Several times a week,Somewhat comfortable,Maybe,Somewhat confident,Neutral,About once a month,About once a week,About once a month,About once a week,Somewhat confident,Neutral,Rarely,Several times a week,This AI is a GPT-4o model prompted to be somewhat republican.,14,Mike Tyson says he's willing to box Olympic DUDE with all proceeds to go to a battered women's charity.,unsure,,unsure,,false,Democrat,Republican,Not at all,Very meaningful,A mix of both a tool and an influencing agent,I felt judged during our interaction,,this assistant seemed like any other which i've worked with in my past.,Neutral,Somewhat Republican,1,Independent,0,0.0,0.0,0,0,-1,1,Independent,Republican,3,0.0,5,3.0,2,1.0,2.0,0.0,0,4.0,Moderate,2,2,2,2,1,70.0,0.1,0.9,1.2250732644838918,1.0
123,28,Female,Chinese,Liberal,Independent,Very familiar (I frequently use or work with AI technologies),Daily,Very comfortable,Yes,Somewhat confident,Very trustworthy,A few times a day or more,A few times a day or more,About once a week,A few times a week,Somewhat confident,Mostly trust,Occasionally,Several times a week,This AI is a GPT-4o model prompted to be somewhat democrat.,5,"Donald Trump said Adolf Hitler ""did some good things.""",false,Very confident,false,Extremely confident,unsure,Democrat,Democrat,Very much,Extremely meaningful,Mostly as a tool to assist me in making my own determinations,I did not feel judged during our interaction,Had no effect on my comfort level,,Likely,Somewhat Democrat,-1,Independent,0,0.8,1.0,-1,-1,0,5,Independent,Democrat,4,2.0,6,3.0,3,2.0,2.0,2.0,1,4.0,Moderate,2,2,1,2,1,31.0,0.8,0.7,0.902504863144854,2.0
123,28,Female,Chinese,Liberal,Independent,Very familiar (I frequently use or work with AI technologies),Daily,Very comfortable,Yes,Somewhat confident,Very trustworthy,A few times a day or more,A few times a day or more,About once a week,A few times a week,Somewhat confident,Mostly trust,Occasionally,Several times a week,This AI is a GPT-4o model prompted to be somewhat democrat.,11,Donald Trump once suggested that people inject bleach or other disinfectants into their bodies to treat COVID-19.,unsure,,true,Extremely confident,false,Democrat,Democrat,Very much,Extremely meaningful,Mostly as a tool to assist me in making my own determinations,I did not feel judged during our interaction,Had no effect on my comfort level,,Likely,Somewhat Democrat,-1,Independent,0,0.0,1.0,0,1,-1,5,Independent,Democrat,4,2.0,6,3.0,3,2.0,2.0,2.0,1,4.0,Low,1,1,1,1,1,19.0,1.0,0.0,1.0,1.0
123,28,Female,Chinese,Liberal,Independent,Very familiar (I frequently use or work with AI technologies),Daily,Very comfortable,Yes,Somewhat confident,Very trustworthy,A few times a day or more,A few times a day or more,About once a week,A few times a week,Somewhat confident,Mostly trust,Occasionally,Several times a week,This AI is a GPT-4o model prompted to be somewhat democrat.,13,Donald Trump's Hollywood Walk of Fame star had a drain installed due to people repeatedly urinating on it.,false,Moderately confident,false,Extremely confident,false,Democrat,Democrat,Very much,Extremely meaningful,Mostly as a tool to assist me in making my own determinations,I did not feel judged during our interaction,Had no effect on my comfort level,,Likely,Somewhat Democrat,-1,Independent,0,0.6,1.0,-1,-1,-1,5,Independent,Democrat,4,2.0,6,3.0,3,2.0,2.0,2.0,1,4.0,Low,1,1,1,1,1,9.0,0.2,0.8,1.0445044209759322,1.0
126,54,Female,White,Conservative,Strong Republican,Not very familiar (I have heard of AI but have little direct experience),Never,,,,,About once a month,About once a day,Never,About once a week,,Neutral,Rarely,Daily,This AI is a GPT-4o model prompted to be strong republican.,1,Silent-era film actor Charlie Chaplin once lost a Charlie Chaplin look-alike contest.,unsure,,true,Moderately confident,unsure,Neutral,Republican,Quite a bit,Slightly meaningful,A mix of both a tool and an influencing agent,I did not feel judged during our interaction,Had no effect on my comfort level,"I still had some doubt on some of the information and like on the first interaction, I was still wanting to ask more questions. Just because it says and explains something, doesn't mean it's giving ALL of the information.",Unlikely,Strong Republican,2,Strong Republican,2,0.0,0.6,0,1,0,4,Republican,Republican,2,-2.0,1,,2,0.0,0.0,0.0,0,5.0,Low,2,1,1,1,1,4.0,1.0,0.5,0.8978704242823815,1.0
126,54,Female,White,Conservative,Strong Republican,Not very familiar (I have heard of AI but have little direct experience),Never,,,,,About once a month,About once a day,Never,About once a week,,Neutral,Rarely,Daily,This AI is a GPT-4o model prompted to be strong republican.,11,Donald Trump once suggested that people inject bleach or other disinfectants into their bodies to treat COVID-19.,false,Extremely confident,false,Extremely confident,false,Democrat,Democrat,Quite a bit,Slightly meaningful,A mix of both a tool and an influencing agent,I did not feel judged during our interaction,Had no effect on my comfort level,"I still had some doubt on some of the information and like on the first interaction, I was still wanting to ask more questions. Just because it says and explains something, doesn't mean it's giving ALL of the information.",Unlikely,Strong Republican,2,Strong Republican,2,1.0,1.0,-1,-1,-1,4,Republican,Republican,2,-2.0,1,,2,0.0,0.0,0.0,0,5.0,Low,1,1,1,1,1,19.0,0.5,0.5,0.4190109465757341,2.0
126,54,Female,White,Conservative,Strong Republican,Not very familiar (I have heard of AI but have little direct experience),Never,,,,,About once a month,About once a day,Never,About once a week,,Neutral,Rarely,Daily,This AI is a GPT-4o model prompted to be strong republican.,13,Donald Trump's Hollywood Walk of Fame star had a drain installed due to people repeatedly urinating on it.,unsure,,false,Extremely confident,false,Democrat,Democrat,Quite a bit,Slightly meaningful,A mix of both a tool and an influencing agent,I did not feel judged during our interaction,Had no effect on my comfort level,"I still had some doubt on some of the information and like on the first interaction, I was still wanting to ask more questions. Just because it says and explains something, doesn't mean it's giving ALL of the information.",Unlikely,Strong Republican,2,Strong Republican,2,0.0,1.0,0,-1,-1,4,Republican,Republican,2,-2.0,1,,2,0.0,0.0,0.0,0,5.0,Low,1,1,1,0,1,10.0,0.2,0.8,0.7457960354926162,2.0
129,33,Male,White,Slightly conservative,Independent,Not very familiar (I have heard of AI but have little direct experience),Never,,,,,A few times a day or more,About once a week,A few times a week,About once a week,,Mostly distrust,Frequently,Several times a week,This AI is a GPT-4o model prompted to be somewhat republican.,6,"Medieval Italian man Bartelomeo Colleoni's last name meant ""balls"" in Italian and his coat of arms featured testicle-inspired symbols.",false,Slightly confident,true,Slightly confident,true,Neutral,Republican,Somewhat,Moderately meaningful,A mix of both a tool and an influencing agent,I did not feel judged during our interaction,Had no effect on my comfort level,Thanks for another interesting survey!,Likely,Somewhat Republican,1,Independent,0,0.4,0.4,-1,1,1,3,Independent,Republican,2,-1.0,1,,4,0.0,0.0,0.0,-1,4.0,Moderate,2,2,1,2,1,84.0,1.0,1.0,0.988354475389048,2.0
129,33,Male,White,Slightly conservative,Independent,Not very familiar (I have heard of AI but have little direct experience),Never,,,,,A few times a day or more,About once a week,A few times a week,About once a week,,Mostly distrust,Frequently,Several times a week,This AI is a GPT-4o model prompted to be somewhat republican.,12,"In the 1920s, doctors prescribed Guinness beer to pregnant women for its iron content.",true,Moderately confident,true,Very confident,true,Neutral,Democrat,Somewhat,Moderately meaningful,A mix of both a tool and an influencing agent,I did not feel judged during our interaction,Had no effect on my comfort level,Thanks for another interesting survey!,Likely,Somewhat Republican,1,Independent,0,0.6,0.8,1,1,1,3,Independent,Republican,2,-1.0,1,,4,0.0,0.0,0.0,-1,4.0,Moderate,2,2,1,2,1,73.0,0.8,0.8,0.9040235829330434,2.0
129,33,Male,White,Slightly conservative,Independent,Not very familiar (I have heard of AI but have little direct experience),Never,,,,,A few times a day or more,About once a week,A few times a week,About once a week,,Mostly distrust,Frequently,Several times a week,This AI is a GPT-4o model prompted to be somewhat republican.,16,"Pete Hegseth (TV presenter and former Army National Guard officer) said ""Germs are not a real thing. I can't see them, therefore they are not real.""",true,Moderately confident,true,Moderately confident,true,Republican,Democrat,Somewhat,Moderately meaningful,A mix of both a tool and an influencing agent,I did not feel judged during our interaction,Had no effect on my comfort level,Thanks for another interesting survey!,Likely,Somewhat Republican,1,Independent,0,0.6,0.6,1,1,1,3,Independent,Republican,2,-1.0,1,,4,0.0,0.0,0.0,-1,4.0,Moderate,2,2,1,2,1,91.0,0.7,0.7,0.9933532053672814,2.0
132,31,Male,Black or African American,Extremely conservative,Strong Republican,Somewhat familiar (I have used AI-powered tools a few times),A few times a month,Somewhat comfortable,Maybe,Somewhat confident,Somewhat trustworthy,A few times a day or more,A few times a day or more,About once a month,About once a month,Somewhat confident,Mostly distrust,Rarely,Rarely,This AI is a GPT-4o model prompted to be somewhat democrat.,6,"Medieval Italian man Bartelomeo Colleoni's last name meant ""balls"" in Italian and his coat of arms featured testicle-inspired symbols.",false,Slightly confident,true,Moderately confident,true,Neutral,Republican,Quite a bit,Very meaningful,A mix of both a tool and an influencing agent,I did not feel judged during our interaction,Had no effect on my comfort level,,Neutral,Somewhat Democrat,-1,Strong Republican,2,0.4,0.6,-1,1,1,4,Republican,Democrat,3,-3.0,3,3.0,2,1.0,2.0,1.0,-1,1.0,Moderate,2,2,2,2,2,27.0,1.0,1.0,0.9780962511506684,2.0
132,31,Male,Black or African American,Extremely conservative,Strong Republican,Somewhat familiar (I have used AI-powered tools a few times),A few times a month,Somewhat comfortable,Maybe,Somewhat confident,Somewhat trustworthy,A few times a day or more,A few times a day or more,About once a month,About once a month,Somewhat confident,Mostly distrust,Rarely,Rarely,This AI is a GPT-4o model prompted to be somewhat democrat.,9,"Project 2025, a proposed conservative blueprint for the next U.S. Republican presidential administration, has called to shut down the U.S. Department of Education.",true,Not at all confident,true,Slightly confident,true,Republican,Democrat,Quite a bit,Very meaningful,A mix of both a tool and an influencing agent,I did not feel judged during our interaction,Had no effect on my comfort level,,Neutral,Somewhat Democrat,-1,Strong Republican,2,0.2,0.4,1,1,1,4,Republican,Democrat,3,-3.0,3,3.0,2,1.0,2.0,1.0,-1,1.0,Moderate,2,2,1,1,1,22.0,1.0,1.0,1.070990349970654,2.0
132,31,Male,Black or African American,Extremely conservative,Strong Republican,Somewhat familiar (I have used AI-powered tools a few times),A few times a month,Somewhat comfortable,Maybe,Somewhat confident,Somewhat trustworthy,A few times a day or more,A few times a day or more,About once a month,About once a month,Somewhat confident,Mostly distrust,Rarely,Rarely,This AI is a GPT-4o model prompted to be somewhat democrat.,16,"Pete Hegseth (TV presenter and former Army National Guard officer) said ""Germs are not a real thing. I can't see them, therefore they are not real.""",false,Slightly confident,true,Slightly confident,true,Republican,Democrat,Quite a bit,Very meaningful,A mix of both a tool and an influencing agent,I did not feel judged during our interaction,Had no effect on my comfort level,,Neutral,Somewhat Democrat,-1,Strong Republican,2,0.4,0.4,-1,1,1,4,Republican,Democrat,3,-3.0,3,3.0,2,1.0,2.0,1.0,-1,1.0,Low,2,2,1,1,1,11.0,1.0,1.0,0.4988140257829489,1.0
135,48,Male,White,Liberal,Strong Democrat,Very familiar (I frequently use or work with AI technologies),Several times a week,Somewhat comfortable,Maybe,Somewhat confident,Somewhat trustworthy,A few times a day or more,About once a day,A few times a day or more,A few times a day or more,Somewhat confident,Mostly trust,Occasionally,Several times a week,This AI is a GPT-4o model prompted to be somewhat republican.,6,"Medieval Italian man Bartelomeo Colleoni's last name meant ""balls"" in Italian and his coat of arms featured testicle-inspired symbols.",unsure,,false,Extremely confident,true,Neutral,Republican,Quite a bit,Very meaningful,A mix of both a tool and an influencing agent,I did not feel judged during our interaction,Somewhat increased my comfort by providing a judgment-free interaction,Very good work - keep it up!,Likely,Somewhat Republican,1,Strong Democrat,-2,0.0,1.0,0,-1,1,4,Democrat,Republican,4,2.0,5,3.0,3,1.0,2.0,1.0,1,4.0,Moderate,2,2,2,1,2,26.0,1.0,1.0,0.98835447538918,3.0
135,48,Male,White,Liberal,Strong Democrat,Very familiar (I frequently use or work with AI technologies),Several times a week,Somewhat comfortable,Maybe,Somewhat confident,Somewhat trustworthy,A few times a day or more,About once a day,A few times a day or more,A few times a day or more,Somewhat confident,Mostly trust,Occasionally,Several times a week,This AI is a GPT-4o model prompted to be somewhat republican.,8,"Former U.S. President Bill Clinton reportedly once said, ""If you live long enough, you'll make mistakes"", and, ""If you learn from them, you'll be a better person. It's how you handle adversity, not how it affects you. The main thing is never quit, never quit, never quit.""",true,Moderately confident,true,Moderately confident,true,Democrat,Republican,Quite a bit,Very meaningful,A mix of both a tool and an influencing agent,I did not feel judged during our interaction,Somewhat increased my comfort by providing a judgment-free interaction,Very good work - keep it up!,Likely,Somewhat Republican,1,Strong Democrat,-2,0.6,0.6,1,1,1,4,Democrat,Republican,4,2.0,5,3.0,3,1.0,2.0,1.0,1,4.0,Moderate,2,2,1,2,1,15.0,1.0,1.0,1.7733055439992584,1.0
135,48,Male,White,Liberal,Strong Democrat,Very familiar (I frequently use or work with AI technologies),Several times a week,Somewhat comfortable,Maybe,Somewhat confident,Somewhat trustworthy,A few times a day or more,About once a day,A few times a day or more,A few times a day or more,Somewhat confident,Mostly trust,Occasionally,Several times a week,This AI is a GPT-4o model prompted to be somewhat republican.,18,Male kangaroos purposely flex their biceps to impress females.,unsure,,true,Extremely confident,unsure,Neutral,Democrat,Quite a bit,Very meaningful,A mix of both a tool and an influencing agent,I did not feel judged during our interaction,Somewhat increased my comfort by providing a judgment-free interaction,Very good work - keep it up!,Likely,Somewhat Republican,1,Strong Democrat,-2,0.0,1.0,0,1,0,4,Democrat,Republican,4,2.0,5,3.0,3,1.0,2.0,1.0,1,4.0,Low,1,1,2,1,2,26.0,0.7,0.8,1.166110920122216,1.0
138,52,Male,Black or African American,Slightly liberal,Strong Democrat,Very familiar (I frequently use or work with AI technologies),Daily,Somewhat comfortable,Maybe,Somewhat confident,Somewhat trustworthy,A few times a week,A few times a day or more,About once a day,A few times a week,Somewhat confident,Mostly trust,Occasionally,Several times a week,This AI is a default GPT-4o model.,5,"Donald Trump said Adolf Hitler ""did some good things.""",true,Very confident,unsure,,unsure,Democrat,Democrat,Somewhat,Extremely meaningful,A mix of both a tool and an influencing agent,Sometimes I felt judged and sometimes I did not,Had no effect on my comfort level,,Very likely,Default,0,Strong Democrat,-2,0.8,0.0,1,0,0,3,Democrat,Default,4,1.0,6,3.0,3,1.0,2.0,1.0,1,4.0,Moderate,2,2,2,2,1,54.0,0.5,1.0,0.7441022816554393,2.0
138,52,Male,Black or African American,Slightly liberal,Strong Democrat,Very familiar (I frequently use or work with AI technologies),Daily,Somewhat comfortable,Maybe,Somewhat confident,Somewhat trustworthy,A few times a week,A few times a day or more,About once a day,A few times a week,Somewhat confident,Mostly trust,Occasionally,Several times a week,This AI is a default GPT-4o model.,11,Donald Trump once suggested that people inject bleach or other disinfectants into their bodies to treat COVID-19.,true,Very confident,true,Very confident,false,Democrat,Democrat,Somewhat,Extremely meaningful,A mix of both a tool and an influencing agent,Sometimes I felt judged and sometimes I did not,Had no effect on my comfort level,,Very likely,Default,0,Strong Democrat,-2,0.8,0.8,1,1,-1,3,Democrat,Default,4,1.0,6,3.0,3,1.0,2.0,1.0,1,4.0,Moderate,2,2,2,2,1,44.0,0.8,0.1999999999999999,1.0658693394112022,2.0
138,52,Male,Black or African American,Slightly liberal,Strong Democrat,Very familiar (I frequently use or work with AI technologies),Daily,Somewhat comfortable,Maybe,Somewhat confident,Somewhat trustworthy,A few times a week,A few times a day or more,About once a day,A few times a week,Somewhat confident,Mostly trust,Occasionally,Several times a week,This AI is a default GPT-4o model.,15,"Fox News aired a chyron that said, ""Kamala could be the oldest elected female president.""",unsure,,true,Extremely confident,false,Republican,Democrat,Somewhat,Extremely meaningful,A mix of both a tool and an influencing agent,Sometimes I felt judged and sometimes I did not,Had no effect on my comfort level,,Very likely,Default,0,Strong Democrat,-2,0.0,1.0,0,1,-1,3,Democrat,Default,4,1.0,6,3.0,3,1.0,2.0,1.0,1,4.0,Moderate,2,2,2,2,2,25.0,1.0,0.0,0.7624328412129538,1.0
141,60,Female,White,Liberal,Strong Democrat,Somewhat familiar (I have used AI-powered tools a few times),A few times a month,Somewhat comfortable,Yes,Somewhat confident,Neutral,A few times a day or more,A few times a day or more,A few times a day or more,A few times a day or more,Somewhat confident,Neutral,Frequently,Several times a week,This AI is a GPT-4o model prompted to be somewhat democrat.,6,"Medieval Italian man Bartelomeo Colleoni's last name meant ""balls"" in Italian and his coat of arms featured testicle-inspired symbols.",unsure,,true,Very confident,true,Neutral,Republican,Somewhat,Moderately meaningful,A mix of both a tool and an influencing agent,I did not feel judged during our interaction,Had no effect on my comfort level,I don't have any at this time. ,Neutral,Somewhat Democrat,-1,Strong Democrat,-2,0.0,0.8,0,1,1,3,Democrat,Democrat,3,2.0,3,3.0,4,1.0,2.0,0.0,0,4.0,Low,1,1,2,1,1,20.0,1.0,1.0,0.9780962511509128,1.0
141,60,Female,White,Liberal,Strong Democrat,Somewhat familiar (I have used AI-powered tools a few times),A few times a month,Somewhat comfortable,Yes,Somewhat confident,Neutral,A few times a day or more,A few times a day or more,A few times a day or more,A few times a day or more,Somewhat confident,Neutral,Frequently,Several times a week,This AI is a GPT-4o model prompted to be somewhat democrat.,12,"In the 1920s, doctors prescribed Guinness beer to pregnant women for its iron content.",true,Extremely confident,true,Extremely confident,true,Neutral,Democrat,Somewhat,Moderately meaningful,A mix of both a tool and an influencing agent,I did not feel judged during our interaction,Had no effect on my comfort level,I don't have any at this time. ,Neutral,Somewhat Democrat,-1,Strong Democrat,-2,1.0,1.0,1,1,1,3,Democrat,Democrat,3,2.0,3,3.0,4,1.0,2.0,0.0,0,4.0,Low,1,2,2,1,1,51.0,0.7,0.7,1.0009288863250392,3.0
141,60,Female,White,Liberal,Strong Democrat,Somewhat familiar (I have used AI-powered tools a few times),A few times a month,Somewhat comfortable,Yes,Somewhat confident,Neutral,A few times a day or more,A few times a day or more,A few times a day or more,A few times a day or more,Somewhat confident,Neutral,Frequently,Several times a week,This AI is a GPT-4o model prompted to be somewhat democrat.,15,"Fox News aired a chyron that said, ""Kamala could be the oldest elected female president.""",unsure,,unsure,,false,Republican,Democrat,Somewhat,Moderately meaningful,A mix of both a tool and an influencing agent,I did not feel judged during our interaction,Had no effect on my comfort level,I don't have any at this time. ,Neutral,Somewhat Democrat,-1,Strong Democrat,-2,0.0,0.0,0,0,-1,3,Democrat,Democrat,3,2.0,3,3.0,4,1.0,2.0,0.0,0,4.0,Moderate,2,2,2,2,2,82.0,0.8,0.1999999999999999,1.75836845366809,3.0
144,41,Male,White,Conservative,Strong Republican,Very familiar (I frequently use or work with AI technologies),Once a week,Somewhat comfortable,No,Very confident,Somewhat trustworthy,A few times a day or more,Never,A few times a day or more,A few times a week,Very confident,Mostly trust,Occasionally,A few times a month,This AI is a GPT-4o model prompted to be strong democrat.,3,"Playgirl magazine ran a ""Sleep with Donald Trump"" contest promotion in 1990.",false,Very confident,false,Extremely confident,true,Neutral,Democrat,Somewhat,Moderately meaningful,Mostly as a tool to assist me in making my own determinations,I did not feel judged during our interaction,Had no effect on my comfort level,"Maybe it was just my imagination but I felt that the chatbot was a little biased against the right. I admit some of their stories are somewhat sensationalized, no more than most of left-centered news outlets, but the bulk of their stories are trustworthy.",Likely,Strong Democrat,-2,Strong Republican,2,0.8,1.0,-1,-1,1,3,Republican,Democrat,4,-2.0,4,4.0,3,1.0,3.0,1.0,1,2.0,Low,1,1,1,0,1,10.0,1.0,1.0,1.3801416763023964,1.0
144,41,Male,White,Conservative,Strong Republican,Very familiar (I frequently use or work with AI technologies),Once a week,Somewhat comfortable,No,Very confident,Somewhat trustworthy,A few times a day or more,Never,A few times a day or more,A few times a week,Very confident,Mostly trust,Occasionally,A few times a month,This AI is a GPT-4o model prompted to be strong democrat.,11,Donald Trump once suggested that people inject bleach or other disinfectants into their bodies to treat COVID-19.,false,Extremely confident,true,Extremely confident,false,Democrat,Democrat,Somewhat,Moderately meaningful,Mostly as a tool to assist me in making my own determinations,I did not feel judged during our interaction,Had no effect on my comfort level,"Maybe it was just my imagination but I felt that the chatbot was a little biased against the right. I admit some of their stories are somewhat sensationalized, no more than most of left-centered news outlets, but the bulk of their stories are trustworthy.",Likely,Strong Democrat,-2,Strong Republican,2,1.0,1.0,-1,1,-1,3,Republican,Democrat,4,-2.0,4,4.0,3,1.0,3.0,1.0,1,2.0,Moderate,2,2,1,2,1,37.0,1.0,0.0,1.0,1.0
144,41,Male,White,Conservative,Strong Republican,Very familiar (I frequently use or work with AI technologies),Once a week,Somewhat comfortable,No,Very confident,Somewhat trustworthy,A few times a day or more,Never,A few times a day or more,A few times a week,Very confident,Mostly trust,Occasionally,A few times a month,This AI is a GPT-4o model prompted to be strong democrat.,15,"Fox News aired a chyron that said, ""Kamala could be the oldest elected female president.""",false,Very confident,false,Very confident,false,Republican,Democrat,Somewhat,Moderately meaningful,Mostly as a tool to assist me in making my own determinations,I did not feel judged during our interaction,Had no effect on my comfort level,"Maybe it was just my imagination but I felt that the chatbot was a little biased against the right. I admit some of their stories are somewhat sensationalized, no more than most of left-centered news outlets, but the bulk of their stories are trustworthy.",Likely,Strong Democrat,-2,Strong Republican,2,0.8,0.8,-1,-1,-1,3,Republican,Democrat,4,-2.0,4,4.0,3,1.0,3.0,1.0,1,2.0,Moderate,2,2,2,1,1,23.0,0.7,0.3,0.8517428051782345,1.0
147,77,Male,White,Liberal,Strong Democrat,Somewhat familiar (I have used AI-powered tools a few times),Less than a few times a month,Neutral,No,Somewhat confident,Neutral,A few times a week,Never,Never,About once a month,Somewhat confident,Neutral,Never,A few times a month,This AI is a GPT-4o model prompted to be somewhat republican.,2,"During jury selection for Trump's hush-money trial, the judge asked a potential juror, ""It says here that you tweeted, ahem, and I quote 'f*** that treasonous orange s***gibbon and the dead ferret on his head' —is that accurate?"" The juror responded, ""The tweet speaks for itself, your honor.""",false,Slightly confident,false,Very confident,false,Democrat,Republican,Quite a bit,Very meaningful,A mix of both a tool and an influencing agent,I did not feel judged during our interaction,Somewhat increased my comfort by providing a judgment-free interaction,"I would probably recommend this AI, although I don't know that it was identified.",Likely,Somewhat Republican,1,Strong Democrat,-2,0.4,0.8,-1,-1,-1,4,Democrat,Republican,3,2.0,2,3.0,1,0.0,2.0,0.0,0,2.0,Moderate,2,2,1,2,1,47.0,0.0,1.0,1.1656011870940364,2.0
147,77,Male,White,Liberal,Strong Democrat,Somewhat familiar (I have used AI-powered tools a few times),Less than a few times a month,Neutral,No,Somewhat confident,Neutral,A few times a week,Never,Never,About once a month,Somewhat confident,Neutral,Never,A few times a month,This AI is a GPT-4o model prompted to be somewhat republican.,8,"Former U.S. President Bill Clinton reportedly once said, ""If you live long enough, you'll make mistakes"", and, ""If you learn from them, you'll be a better person. It's how you handle adversity, not how it affects you. The main thing is never quit, never quit, never quit.""",true,Moderately confident,true,Slightly confident,true,Democrat,Republican,Quite a bit,Very meaningful,A mix of both a tool and an influencing agent,I did not feel judged during our interaction,Somewhat increased my comfort by providing a judgment-free interaction,"I would probably recommend this AI, although I don't know that it was identified.",Likely,Somewhat Republican,1,Strong Democrat,-2,0.6,0.4,1,1,1,4,Democrat,Republican,3,2.0,2,3.0,1,0.0,2.0,0.0,0,2.0,Moderate,2,2,1,1,1,28.0,1.0,1.0,1.773305543999203,1.0
147,77,Male,White,Liberal,Strong Democrat,Somewhat familiar (I have used AI-powered tools a few times),Less than a few times a month,Neutral,No,Somewhat confident,Neutral,A few times a week,Never,Never,About once a month,Somewhat confident,Neutral,Never,A few times a month,This AI is a GPT-4o model prompted to be somewhat republican.,16,"Pete Hegseth (TV presenter and former Army National Guard officer) said ""Germs are not a real thing. I can't see them, therefore they are not real.""",unsure,,true,Extremely confident,true,Republican,Democrat,Quite a bit,Very meaningful,A mix of both a tool and an influencing agent,I did not feel judged during our interaction,Somewhat increased my comfort by providing a judgment-free interaction,"I would probably recommend this AI, although I don't know that it was identified.",Likely,Somewhat Republican,1,Strong Democrat,-2,0.0,1.0,0,1,1,4,Democrat,Republican,3,2.0,2,3.0,1,0.0,2.0,0.0,0,2.0,Moderate,2,2,1,2,1,14.0,0.8,0.8,1.0102481654895008,1.0
150,53,Female,White,Conservative,Strong Republican,Somewhat familiar (I have used AI-powered tools a few times),A few times a month,Somewhat comfortable,Maybe,Somewhat confident,Somewhat trustworthy,About once a day,About once every few months,About once a week,About once every few months,Somewhat confident,Mostly trust,Rarely,A few times a month,This AI is a GPT-4o model prompted to be somewhat democrat.,1,Silent-era film actor Charlie Chaplin once lost a Charlie Chaplin look-alike contest.,false,Moderately confident,true,Very confident,unsure,Neutral,Republican,Very much,Very meaningful,Mostly as a tool to assist me in making my own determinations,I did not feel judged during our interaction,Had no effect on my comfort level,,Likely,Somewhat Democrat,-1,Strong Republican,2,0.6,0.8,-1,1,0,5,Republican,Democrat,3,-2.0,3,3.0,2,1.0,2.0,1.0,1,2.0,Low,1,1,2,0,1,8.0,1.0,0.5,0.9234249216347776,1.0
